1f494	割れたハート|ハート|ハートブレイク|別れ|別れた|壊れたハート|失恋	broken heart|break|broken|crushed|emotion|heart|heartbroken|lonely|sad
2764-200d-1f525	燃えるハート|ハート|愛|火の付いた|炎|聖なる心臓	heart on fire|burn|fire|heart|love|lust|sacred
2764-200d-1fa79	包帯を巻いたハート|ケガ|ハート|傷ついた|傷心|包帯	mending heart|healthier|heart|improving|mending|recovering|recuperating|well
2764	赤いハート|ハート|愛|赤	red heart|emotion|heart|love|red
1f9e1	オレンジのハート|オレンジ|ハート	orange heart|143|heart|orange
1f49b	黄色のハート|ハート|愛|黄色|黄色いハート	yellow heart|143|cardiac|emotion|heart|ily|love|yellow
1f49a	緑のハート|ハート|緑	green heart|143|emotion|green|heart|ily|love|romantic
1f499	青いハート|ハート|青	blue heart|143|blue|emotion|heart|ily|love|romance
1f49c	紫のハート|ハート|愛|紫	purple heart|143|bestest|emotion|heart|ily|love|purple
1f90e	茶色いハート|ハート|茶色	brown heart|143|brown|heart
1f5a4	黒いハート|ハート|悪意|黒	black heart|black|evil|heart|wicked
1f90d	白いハート|ハート|白	white heart|143|heart|white
1f48b	キスマーク|キス|セクシー|ちゅっ|唇	kiss mark|dating|emotion|heart|kiss|kissing|lips|mark|romance|sexy
1f4af	100点満点|100|100点|全問正解|満点	hundred points|100|a+|agree|clearly|definitely|faithful|fleek|full|hundred|keep|perfect|point|score|TRUE|truth|yup
1f4a2	むかっ|＃|マンガ|怒った|怒り|怒りマーク	anger symbol|anger|angry|comic|mad|symbol|upset
1f4a5	衝突|どんっ|ぼんっ|マンガ|爆発|衝撃	collision|bomb|boom|collide|comic|explode
1f4ab	くらくら|きらきら|キラキラ|星|流れ星|目が回る	dizzy|comic|shining|shooting|star|stars
1f4a6	あせあせ|しずく|水滴|汗	sweat droplets|comic|drip|droplet|droplets|drops|splashing|squirt|sweat|water|wet|work|workout
1f4a8	ダッシュ|マンガ|急ぐ|急げ|走る|逃げる	dashing away|away|cloud|comic|dash|dashing|fart|fast|go|gone|gotta|running|smoke
1f573	穴	hole
1f4ac	会話の吹き出し|セリフ|トーク|マンガ|メッセージ|会話|吹き出し	speech balloon|balloon|bubble|comic|dialog|message|sms|speech|talk|text|typing
1f441-200d-1f5e8	吹き出しの目|吹き出し|目|目撃	eye in speech bubble|balloon|bubble|eye|speech|witness
1f5e8	吹き出し左|セリフ|会話|吹き出し	left speech bubble|balloon|bubble|dialog|left|speech
1f5ef	怒りの吹き出し|吹き出し|怒り	right anger bubble|anger|angry|balloon|bubble|mad|right
1f4ad	雲形の吹き出し|マンガ|もくもく|吹き出し|空想|考え事|雲	thought balloon|balloon|bubble|cartoon|cloud|comic|daydream|decisions|dream|idea|invent|invention|realize|think|thoughts|wonder
